## 第6週 1日目 意味が似ていることば
突然|とつぜん——突然
彼はもともと気の弱い人だった|かれはもともときのよわいひとだった——他本来是很软弱的人
この時計はもともと安かった|このとけいはもともとやすかった——这块表本来也很便宜
たまたま|たまたま——碰巧
たまたま高校時代の友人に会った|たまたまこうこうじだいのゆうじんにあった——碰巧见到了高中时的朋友
まあまあ|まあまあ——还行、过得去
試験の結果はまあまあだった|しけんのけっかはまあまあだった——考试结果还过得去
さまざま|さまざま——各式各样
さまざまな商品|さまざまなしょうひん——各式各样的商品
## 第6週 4日目 組み合わせのことば
理想の人に出会う|りそうのひとにであう——邂逅理想的人
出会い|であい——邂逅
客を出迎える|きゃくをでむかえる——迎接客人
見送る|みおくる——送别
空を見上げる|そらをみあげる——仰望天空
通りを見下ろす|とおりをみおろす——俯视马路
急に立ち止まる|きゅうにたちどまる——突然站住
ソファーから立ち上がる|ソファーからたちあがる——从沙发上站起身
寺の前を通りかかる|てらのまえをとおりかかる——路过寺庙门前
郵便局を通り過ぎる|ゆうびんきょくをとおりすぎる——经过邮局
隣の人に話しかける|となりのひとにはなしかける——和旁边的人搭话
田中さんと話し合う|たなかさんとはなしあう——和田中先生商量
中村さんと知り合う|なかむらさんとしりあう——认识中村先生
知り合い|しりあい——熟人
駅で待ち合わせる|えきでまちあわせる——在车站等候
電話で問い合わせる|でんわでといあわせる——电话问询
旅行会社に申し込む|りょこうがいしゃにもうしこむ——去旅游公司报名
申し込みを締め切る|もうしこみをしめきる——截止申请
申し込みを受け付ける|もうしこみをうけつける——受理申请
荷物を受け取る|にもつをうけとる——收取行李
電池を取り替える|でんちをとりかえる——换电池
予約を取り消す|よやくをとりけす——取消预约
CDを取り出す|シーディーをとりだす——取出CD
子どもが飛び出す|こどもがとびだす——孩子跑出来
プールに飛び込む|プールにとびこむ——跳到游泳池里
さまざまな国の人と知り合う|さまざまなくにのひととしりあう——与各国的人相识
## 第6週 5日目 意味がたくさんある動詞①
大学を出る|だいがくをでる——大学毕业
会議に出る|かいぎにでる——参加会议
食事が出る|しょくじがでる——饭来了
結論が出る|けつろんがでる——得出结论
元気が出る|げんきがでる——有精神了
新製品が出る|しんせいひんがでる——出新产品
芽が出る|めがでる——发芽
ボーナスが出る|ボーナスがでる——发奖金
ゴキブリが出る|ゴキブリがでる——出蟑螂了
新聞に名前が出る|しんぶんになまえがでる——名字登上报纸
角を曲がると駅に出る|かどをまがるとえきにでる——拐过拐角就是车站
食事を出す|しょくじをだす——上菜
結論を出す|けつろんをだす——得出结论
元気を出す|げんきをだす——打起精神
新製品を出す|しんせいひんをだす——推出新产品
ボーナスを出す|ボーナスをだす——发奖金
財布を取る|さいふをとる——偷钱包
財布を取りに戻る|さいふをとりにもどる——回去取钱包
運転免許を取る|うんてんめんきょをとる——考取驾照
コピーを取る|コピーをとる——复印
新聞を取る|しんぶんをとる——订报纸
睡眠を取る|すいみんをとる——获取睡眠
出席を取る|しゅっせきをとる——点名
連絡を取る|れんらくをとる——联络
痛みを取る|いたみをとる——止痛
連絡が取れる|れんらくがとれる——联系上
痛みが取れる|いたみがとれる——止痛了
ボタンが取れる|ボタンがとれる——纽扣掉了
新入社員を採る|しんにゅうしゃいんをとる——录用新社员
鍵がかかっている|かぎがかかっている——锁着
鍵をかける|かぎをかける——上锁
病気にかかる|びょうきにかかる——患病
医者にかかる|いしゃにかかる——看医生
ボタンをかける|ボタンをかける——系扣子
CDをかける|シーディーをかける——播放CD
毛布をかける|もうふをかける——盖毛毯
声をかける|こえをかける——打招呼
声がかかる|こえがかかる——有人招呼
心配をかける|しんぱいをかける——让人操心
親に心配をかけない|おやにしんぱいをかけない——不让父母担心
## 第6週 6日目 意味がたくさんある動詞②
席を立つ|せきをたつ——离席
時間がたつ|じかんがたつ——时间流逝
うわさが立つ|うわさがたつ——流言四起
予定を立てる|よていをたてる——制定计划
音を立てる|おとをたてる——发出声音
雨が上がる|あめがあがる——雨停了
どうぞお上がりください|どうぞおあがりください——请进
風呂から上がる|ふろからあがる——洗完澡
物価が上がる|ぶっかがあがる——物价上涨
効果が上がる|こうかがあがる——效果提高
初めてのスピーチであがる|はじめてのスピーチであがる——第一次演讲怯场了
例をあげる|れいをあげる——举例
結婚式をあげる|けっこんしきをあげる——举办结婚典礼
熱が下がる|ねつがさがる——退烧
黄色い線の内側まで下がる|きいろいせんのうちがわまでさがる——退到黄线以内
評判が下がる|ひょうばんがさがる——名声下降
カーテンが下がる|カーテンがさがる——窗帘拉着
買い物かごを下げる|かいものかごをさげる——提着购物筐
一字下げて書く|いちじさげてかく——空一个字再写
テレビの音を下げる|テレビのおとをさげる——调低电视的声音
泥がつく|どろがつく——沾上泥
傷がつく|きずがつく——受伤
連絡がつく|れんらくがつく——联系上
都合がつく|つごうがつく——有时间
おまけがつく|おまけがつく——带赠品
印をつける|しるしをつける——作记号
たばこに火をつける|たばこにひをつける——点着香烟
日記をつける|にっきをつける——记日记
効果が上がるような勉強|こうかがあがるようなべんきょう——有效的学习
